buyer_id,gender,membership_length,age_group
68510,F,0.2,30-40
68680,F,0.1,50-60
68723,F,1.6,40-50
68744,F,0.3,30-40
68761,F,0.2,30-40
68815,F,0.1,50-60
68825,F,0.2,18-30
68909,F,0.3,40-50
68953,F,0.2,30-40
69099,M,0.3,30-40
69103,F,0.1,40-50
69325,F,0.2,30-40
69346,F,0.2,30-40
69468,M,0.1,18-30
69486,M,0.2,30-40
69668,F,0.4,50-60
69712,F,1.5,40-50
69747,F,0.3,60+
69864,F,0.2,18-30
69879,F,0.4,30-40
69890,F,0.2,30-40
69941,F,0.1,30-40
69971,F,0.1,50-60
70003,F,0.1,50-60
70026,F,0.2,30-40
70140,F,0.1,30-40
70149,F,0.3,18-30
70221,F,0.2,60+
70242,F,0.4,18-30
70254,F,0.2,50-60
70280,F,0.2,60+
70350,F,0.2,40-50
70561,F,0.1,30-40
70847,F,0.3,40-50
70931,F,0.1,30-40
70951,F,0.2,40-50
71081,M,0.2,60+
71103,F,0.1,30-40
71156,F,0.2,30-40
71277,F,0.3,30-40
71403,F,0.2,30-40
71439,F,0.2,18-30
71493,F,0.1,18-30
71517,F,0.4,18-30
71590,M,0.3,60+
71630,F,0.1,60+
71766,F,0.1,30-40
71995,F,0.2,30-40
72103,M,0.3,40-50
72149,F,0.1,50-60
72222,F,0.1,30-40
72240,F,0.1,60+
72253,F,0.1,40-50
72312,F,0.3,50-60
72405,F,0.3,60+
72529,F,0.2,50-60
72589,F,0.2,30-40
72718,F,0.1,40-50
72759,M,0.1,50-60
72865,F,0.3,60+
72970,F,0.2,40-50
73215,F,0.2,30-40
73360,F,0.1,50-60
73460,F,0.1,40-50
73998,F,0.3,30-40
74322,F,0.1,30-40
74449,F,0.6,18-30
74573,F,0.2,50-60
74737,F,0.3,30-40
74869,F,0.2,50-60
74886,F,0.2,30-40
74916,F,0.1,18-30
75157,F,0.6,30-40
75426,F,0.1,18-30
75530,F,0.2,30-40
75711,F,0.2,30-40
75910,F,0.1,30-40
75938,F,1.4,40-50
75961,F,0.1,40-50
76033,F,0.1,18-30
76193,F,0.6,18-30
76719,F,0.1,30-40
76811,M,0.7,30-40
77008,F,1,18-30
77107,M,0.2,30-40
77133,F,1.1,40-50
77163,F,0.2,30-40
77181,F,0.5,60+
77195,M,0.1,30-40
77333,F,0.1,50-60
77402,F,0.2,30-40
77561,F,0.1,30-40
77790,F,0.1,60+
77817,F,0.4,18-30
77820,F,0.1,50-60
77864,F,0.1,50-60
78096,F,0.2,60+
78141,M,0.6,50-60
78142,F,0.2,40-50
78238,F,0.1,30-40
78407,F,0.1,30-40
78440,F,0.3,18-30
78609,M,0.7,40-50
78655,F,0.1,18-30
78666,F,0.3,40-50
78744,F,0.1,40-50
78918,F,0.1,18-30
79113,F,0.5,60+
79476,F,0.1,60+
79917,F,0.2,30-40
80077,F,0.2,40-50
80326,F,0.2,40-50
80486,M,0.1,30-40
80523,F,0.1,40-50
80720,F,0.2,40-50
80738,F,0.3,60+
80806,F,0.4,50-60
80952,M,0.3,60+
80981,F,0.1,60+
81175,F,0.2,30-40
81516,F,0.1,18-30
82069,F,0.2,50-60
82290,F,0.1,30-40
82294,F,0.1,50-60
83141,F,0.1,30-40
83239,F,0.3,50-60
83630,F,0.2,30-40
83741,F,0.1,50-60
83748,F,0.9,60+
83769,F,0.1,18-30
83789,M,0.1,60+
83901,F,0.2,50-60
84074,F,0.2,30-40
84142,F,0.4,18-30
84216,F,0,30-40
84497,F,0.2,30-40
84533,F,0.2,18-30
84540,F,0.4,30-40
84749,F,0.2,50-60
84925,F,0.1,18-30
84967,F,0.1,40-50
85247,F,0.2,30-40
85362,F,0.7,30-40
85439,F,0.1,60+
85553,F,0.1,30-40
85742,F,0.1,30-40
85763,F,0.2,18-30
85830,F,0.1,18-30
86218,M,0.2,30-40
86371,F,0.3,30-40
86641,F,0.4,40-50
86650,F,0.4,30-40
86772,F,0.2,30-40
87187,F,0.2,60+
87698,F,0.5,60+
87712,F,0.2,30-40
87938,F,0.2,30-40
87969,F,0.2,30-40
88062,F,0.1,50-60
88165,F,0.3,60+
88369,F,0,60+
88412,F,0.2,30-40
88443,F,0.2,30-40
89262,F,0.5,40-50
89273,F,0.2,18-30
89279,F,0.2,40-50
89430,F,0.5,18-30
89451,F,0.2,40-50
89578,F,0.1,18-30
89583,F,0.3,30-40
89654,F,0.2,50-60
89670,F,0.1,30-40
89936,F,0.6,30-40
90109,F,0.1,30-40
90143,F,0.9,50-60
90978,F,0.4,50-60
91283,F,0.3,30-40
91464,F,0.2,40-50
91917,F,0.2,30-40
91921,M,0.4,30-40
92235,M,2.3,18-30
92784,F,0.3,30-40
92937,F,0.2,30-40
92941,F,0.1,50-60
93047,F,0.2,30-40
93144,F,0.2,40-50
93165,F,0.2,40-50
93317,F,0.3,40-50
93449,M,0.1,30-40
93644,F,0.2,30-40
93656,F,0.1,60+
93671,F,0.4,30-40
94071,F,0.1,40-50
94106,F,0.1,30-40
94164,F,0,30-40
94370,F,0.1,30-40
94394,F,0.2,30-40
94412,F,0.1,30-40
94425,F,2,30-40
94865,M,0.1,30-40
94899,F,0.2,30-40
94960,F,0.1,50-60
95063,M,0.1,50-60
95224,M,0.2,40-50
95664,F,0.2,30-40
95998,F,0.4,18-30
96261,F,0.1,30-40
96351,F,0.1,40-50
96364,F,0,60+
96806,F,0.3,60+
97098,F,0.1,30-40
97327,F,0.1,18-30
97478,F,0.2,60+
98110,F,0.2,30-40
98295,F,0.1,18-30
98610,F,0.1,50-60
98740,F,0.3,40-50
98742,F,0.1,50-60
99050,M,0.3,18-30
99258,F,0.3,30-40
99358,F,0.2,60+
99566,M,0.2,18-30
99760,F,0.1,18-30
99835,F,0.8,30-40
100136,M,0.1,50-60
100324,F,0.4,18-30
100352,F,0.1,30-40
100353,F,0,60+
100372,F,0.2,30-40
100698,F,0.2,30-40
100913,F,0.6,30-40
101492,F,0.7,30-40
101497,F,0.1,50-60
101722,F,0.2,30-40
101815,F,0.3,40-50
101847,M,0.1,60+
102537,F,0.1,30-40
102556,F,0.1,30-40
102600,F,0.1,18-30
103109,F,0.2,60+
103461,M,0.2,30-40
103525,M,0.2,40-50
103868,F,0.4,40-50
104503,M,0.5,40-50
104576,F,0.1,60+
104988,F,0.6,60+
105322,F,0.3,40-50
105465,F,0.1,40-50
105790,F,0.4,60+
106042,F,0.1,50-60
106313,F,0.1,30-40
106463,F,0,30-40
106965,M,0.1,30-40
107324,F,0.1,30-40
108092,F,0.2,60+
108142,F,0.3,40-50
109856,F,0.1,30-40
110513,F,0.1,60+
110619,F,0.1,50-60
110707,M,0.3,40-50
110969,F,0.2,50-60
111060,F,0.9,50-60
111700,F,0.5,50-60
111964,F,0.1,50-60
112246,F,0.1,60+
112260,F,0.3,30-40
112386,F,0.2,18-30
113109,F,0.4,60+
113718,F,0.2,30-40
113754,F,0.1,60+
113760,M,0.3,30-40
113913,M,0.8,30-40
113922,F,0.2,30-40
114336,M,2.4,50-60
114378,F,0.1,18-30
114551,F,0.1,50-60
114668,F,0.1,30-40
114690,F,0.2,30-40
114861,F,0.3,40-50
114882,F,0.9,50-60
115488,F,0.6,30-40
115783,M,0.5,18-30
116123,F,0.5,50-60
116199,F,0.1,30-40
116512,F,0.1,30-40
116956,F,0.2,18-30
117079,F,0.1,60+
117157,F,0.6,60+
117164,F,0.1,50-60
117299,F,0.4,50-60
117492,F,0.1,60+
117662,F,0.2,18-30
117933,F,0.2,50-60
117944,F,0.1,18-30
118160,F,1.3,50-60
118534,F,0.1,30-40
118611,M,0.2,30-40
118714,M,0,60+
118810,F,0.1,30-40
119398,F,0.1,40-50
119577,F,0.2,40-50
119705,F,0.1,60+
119899,F,0.1,30-40
120231,M,0.1,60+
120318,F,1.5,50-60
120998,F,0.1,18-30
121021,F,0.2,30-40
121052,F,0.3,18-30
121224,F,0.2,30-40
121235,F,0.4,50-60
121249,M,0.1,50-60
121252,F,0.2,18-30
121313,F,0.6,18-30
121327,F,0.1,30-40
121371,F,0,60+
121439,F,0.2,30-40
121459,F,0.1,60+
121645,F,0.1,40-50
121822,F,0.6,18-30
121909,M,0.1,40-50
122048,F,0.2,18-30
122050,F,0.1,60+
122123,F,0.2,30-40
122144,F,0.3,30-40
122165,F,0.2,30-40
122196,M,0.2,30-40
122254,F,0.1,60+
122255,F,0.1,30-40
122779,F,0.1,40-50
123560,F,0.1,18-30
123605,F,0.2,30-40
123611,M,0.2,30-40
124091,F,0.2,30-40
124301,F,0.1,30-40
124346,F,0.2,30-40
124672,F,0,60+
124797,F,0.6,40-50
125045,F,0.2,40-50
125324,F,0.1,30-40
125477,F,0.4,60+
126378,F,0.4,18-30
126417,M,0.1,30-40
126589,F,0.2,30-40
126641,M,1.8,40-50
126716,M,0.4,60+
126910,F,0.1,18-30
127174,F,0.2,30-40
127238,F,0.5,40-50
127299,M,0.2,30-40
127397,F,0.3,40-50
127548,M,0.2,30-40
127603,F,0.2,30-40
127839,F,0.2,30-40
128126,M,0.9,40-50
128375,F,0.5,50-60
128458,F,0.2,30-40
128722,F,0.1,30-40
128885,F,0.5,50-60
129177,F,0.1,60+
129378,F,0.1,30-40
129625,M,0.5,30-40
129829,F,0.4,40-50
129971,F,0.6,18-30
130349,F,0.3,30-40
130381,M,0.2,30-40
130557,F,0.2,30-40
130619,F,0.2,60+
130674,M,0.8,30-40
131324,F,0.2,40-50
131454,F,0.4,30-40
131577,F,1.1,40-50
131634,F,0.1,40-50
131740,F,0.1,30-40
132022,M,0.1,30-40
132127,F,0.2,40-50
132196,F,1.1,30-40
132209,M,0.7,50-60
132498,M,0.5,40-50
132990,M,0.3,30-40
133226,F,0.3,18-30
133638,F,0.3,30-40
133717,F,0.2,30-40
133722,M,1.3,30-40
134096,F,0.1,30-40
134237,M,0.2,30-40
134243,M,0.3,50-60
134722,M,0.4,40-50
134768,F,0.6,30-40
135382,F,0.1,30-40
135434,F,0.1,30-40
135466,F,0.2,30-40
135983,F,0.2,40-50
136036,F,0.2,18-30
136213,F,0.6,30-40
136422,F,0.3,30-40
136556,M,0.2,30-40
136666,M,0.1,30-40
136774,F,0.1,18-30
136898,F,0.2,40-50
137043,F,0.5,60+
137079,F,2.2,40-50
137135,M,0.2,30-40
137190,M,1.2,30-40
137547,F,0.2,40-50
137583,F,0.1,30-40
137726,M,0.5,30-40
137747,F,0.8,30-40
137797,F,0.2,30-40
137815,F,0.1,30-40
138260,M,1.5,40-50
138379,F,0.1,30-40
138411,F,0.1,40-50
139027,F,0.1,18-30
139133,F,0.1,40-50
139196,M,0.9,50-60
139945,F,0.3,18-30
140047,M,0.6,30-40
140095,F,1.2,18-30
140415,M,0.4,30-40
140481,F,0.1,30-40
140821,F,0.2,30-40
140873,F,0.3,60+
141099,F,0.1,30-40
141203,M,0.1,60+
141264,F,0.5,50-60
141389,F,0.1,40-50
141637,F,0.3,40-50
141641,F,0.2,30-40
141883,F,0.4,30-40
142153,F,0.1,30-40
142361,F,0.1,30-40
142967,F,0,30-40
143212,M,1.5,30-40
143487,M,0.4,18-30
143709,M,0.1,40-50
143872,F,0.6,30-40
145481,F,0.2,30-40
146263,F,0.2,40-50
146802,F,0.3,40-50
147306,F,0.1,30-40
147365,F,0.2,30-40
147611,M,0.1,50-60
147722,F,0.2,30-40
148008,F,0.1,30-40
148704,F,0.1,50-60
148715,F,0.1,30-40
148795,F,0.6,50-60
149026,F,0.2,50-60
149578,F,0.1,18-30
149687,F,0.4,18-30
149910,F,0,40-50
150076,F,5.3,30-40
150100,M,0.1,40-50
150731,F,0.1,30-40
151577,F,2.4,50-60
151775,M,0,60+
152155,F,0.2,30-40
152851,M,0.1,18-30
153161,F,0.1,18-30
153524,F,0.2,40-50
154107,F,0.2,30-40
154166,F,0,60+
154187,M,0.1,60+
154937,F,0.3,40-50
154977,F,0.7,50-60
155002,F,0.2,30-40
155219,F,0.2,30-40
155321,F,0.5,30-40
155435,M,0.6,30-40
155446,F,0.2,50-60
155595,F,0.3,50-60
156431,F,0.1,60+
157255,F,0.5,18-30
157681,F,0.1,18-30
158143,F,0.4,60+
158407,F,0.1,60+
158568,F,0.2,30-40
158761,F,0.2,30-40
158916,F,0.1,18-30
159064,F,0.1,60+
159149,M,0.2,40-50
159332,F,0.2,30-40
159647,M,0.4,18-30
159748,F,0.1,18-30
160135,F,0.2,30-40
160308,F,0.1,60+
160442,F,0.7,18-30
160443,F,0.2,30-40
160577,F,0.2,30-40
160712,M,0.4,50-60
160849,M,0.4,30-40
161144,M,0.5,40-50
161383,F,0.2,30-40
161506,F,0.6,30-40
161769,F,0.2,50-60
161989,F,0.1,40-50
162438,F,0.1,18-30
162460,F,0.2,30-40
162584,M,0.1,30-40
162751,M,0.6,30-40
162781,M,0.1,40-50
163012,F,0.3,60+
163201,F,0.5,18-30
163204,F,0.2,40-50
163233,F,0.3,30-40
163411,F,0.1,40-50
163439,F,0.1,18-30
163442,F,0.2,18-30
163463,F,0.1,60+
163651,F,0.1,30-40
163655,M,0.3,60+
163742,F,0.4,30-40
163969,F,0.2,30-40
164156,F,0.1,30-40
164586,F,0.1,60+
164593,F,0.2,40-50
164774,F,0.1,30-40
165249,F,0.2,30-40
165518,F,0.1,50-60
165543,F,0.3,40-50
165647,F,0.1,40-50
166080,F,0.5,30-40
166089,F,0.3,40-50
166327,F,0.2,30-40
166655,F,0.2,30-40
166815,F,0.3,18-30
166832,F,0.2,30-40
166920,F,0.4,50-60
167130,M,0.1,40-50
167151,F,0.2,18-30
167262,F,0.3,40-50
167272,F,0.1,18-30
167589,F,0.1,40-50
167679,M,0.2,18-30
167749,F,0,30-40
167794,F,0.2,30-40
168217,F,0.2,50-60
168576,M,0.2,30-40
168776,F,0.1,60+
168922,F,0.1,18-30
169374,F,0.1,40-50
169762,F,0.2,60+
170550,F,0.1,30-40
170703,F,0.6,30-40
170818,F,0.6,30-40
170927,F,0.1,40-50
170963,F,2.4,50-60
171171,F,0.1,30-40
171957,F,0.5,30-40
172405,F,0.3,50-60
172794,M,0.5,18-30
174082,M,0.3,30-40
174654,F,0.1,18-30
174714,F,0,50-60
175112,F,0.2,18-30
175167,F,0.2,30-40
175210,F,0.6,40-50
175896,F,0.2,30-40
176036,M,0.2,18-30
176139,F,0.3,50-60
176470,F,0.2,50-60
176877,F,0.1,50-60
176987,F,0.1,60+
177018,F,0.1,40-50
178053,F,0.2,30-40
178146,F,1.1,60+
178290,F,0.2,40-50
178778,F,0.2,18-30
178886,F,0.1,18-30
178952,F,0.2,30-40
179110,M,0.2,50-60
179413,F,0.3,40-50
179732,F,0.1,30-40
180404,F,1.6,18-30
184242,F,1.5,50-60
184554,F,0.1,18-30
184726,F,0.1,60+
184786,M,0,30-40
185189,M,0.2,18-30
185414,F,0.3,30-40
185430,F,0.2,30-40
185585,F,0.3,30-40
185777,F,0.1,60+
186115,F,0.1,60+
186214,F,0.3,40-50
186495,F,0.2,30-40
186620,F,0.1,18-30
186675,F,0.2,30-40
186696,F,0.1,50-60
187036,M,0.1,18-30
187108,F,0.2,40-50
187229,F,0.2,30-40
187304,F,0.3,30-40
187367,F,1.2,60+
187429,F,0.2,30-40
187762,F,0.2,30-40
187854,F,0.3,30-40
187897,M,0.1,60+
188000,F,0.2,30-40
188008,F,0.5,30-40
188141,F,0.1,18-30
188155,F,0.2,40-50
188698,F,0.1,40-50
188794,M,0.1,40-50
188825,F,0.3,40-50
188981,F,0.1,50-60
189068,F,0.1,40-50
189106,F,0.1,50-60
189209,F,0.1,18-30
189266,M,0.4,30-40
189400,F,0.2,30-40
189516,F,0.1,18-30
189783,F,0.1,40-50
189817,F,1.2,60+
189965,F,0.1,60+
190062,F,0.1,18-30
190395,F,0.2,50-60
190734,F,0.1,60+
190871,F,0.1,40-50
191113,F,0,60+
191214,F,0.1,30-40
191247,F,0.1,40-50
191275,F,0.1,40-50
191433,F,0.4,60+
191520,F,0.2,30-40
192160,F,0.2,50-60
192887,F,0.3,18-30
192937,F,0.2,18-30
193217,F,0.1,50-60
193304,F,0.3,60+
193538,F,0.6,40-50
193560,F,0.1,18-30
193740,F,0.1,40-50
193788,F,2.9,50-60
193863,M,0.2,40-50
194120,M,0.3,30-40
194304,F,0.1,30-40
194339,F,0.1,18-30
194472,F,0.5,18-30
194641,F,0.1,18-30
194666,F,0.4,50-60
194713,M,0.4,50-60
195005,F,0.1,60+
195402,M,1.5,40-50
195569,F,0,60+
195788,F,0.1,30-40
195992,M,0.4,30-40
196297,M,0.2,40-50
196465,F,0.2,40-50
196746,F,0.2,40-50
196780,F,0.1,60+
196837,M,0.2,50-60
196915,F,0.3,30-40
196961,F,1.2,30-40
197008,M,0.3,50-60
197353,M,0.6,30-40
197470,F,0.1,18-30
197503,F,0.2,30-40
197671,M,0.1,50-60
198006,F,0.2,30-40
198169,F,0.3,30-40
198198,F,0.7,60+
198236,M,0.3,50-60
198411,F,0.1,60+
199217,F,0.7,60+
199527,F,0.4,40-50
199598,F,0.1,18-30
200081,F,0.1,40-50
200092,F,0.1,40-50
200239,F,0.3,50-60
200457,F,0.1,40-50
200509,F,0.2,50-60
200603,F,0.1,50-60
201234,M,0.1,30-40
201366,M,0.9,30-40
202322,F,0.2,40-50
202443,F,0.5,30-40
202570,F,0.2,30-40
202661,F,0.1,50-60
202743,M,0.4,30-40
202832,F,0.1,18-30
203003,F,0.1,60+
203152,M,0.2,60+
203175,M,0.4,18-30
203292,F,0.1,30-40
203352,F,0.1,40-50
203589,F,0.3,50-60
203651,F,0.1,30-40
203717,F,0.2,40-50
204198,F,0.4,30-40
204214,F,0.1,18-30
204697,F,0.1,60+
204764,F,0.3,18-30
205092,F,0.1,50-60
205377,F,0.2,30-40
205724,F,0.1,50-60
205894,M,0.4,30-40
207704,F,0.8,60+
209658,F,0.1,50-60
209667,F,0.9,30-40
209709,M,0.2,50-60
209895,M,0.2,50-60
210197,F,0.1,18-30
210709,M,1.5,30-40
211176,F,0.3,30-40
211921,F,0.1,40-50
213058,F,0.4,18-30
213169,M,0,30-40
213278,F,0.1,30-40
213847,F,0.2,40-50
214245,F,0.5,18-30
214936,F,0.4,30-40
216551,F,0.3,40-50
218223,F,0.6,40-50
219273,F,0.4,18-30
219319,F,0.1,60+
219348,F,0.1,18-30
219850,M,0.4,18-30
220835,F,0.2,40-50
222202,F,2.1,40-50
222213,F,0.3,30-40
223436,F,0.1,40-50
223840,F,0.2,50-60
223993,F,0.1,18-30
224256,F,1.1,30-40
224336,F,0.1,30-40
224374,M,0.2,30-40
224605,M,0.3,18-30
224610,M,0.3,60+
224690,F,0.2,30-40
225011,F,0.2,40-50
225438,M,3.3,60+
225737,F,1.6,50-60
225923,F,0.9,60+
226730,F,0.2,40-50
226745,F,0.3,50-60
227447,F,0.1,50-60
227536,F,0.1,18-30
227645,F,0.8,50-60
227745,F,0.6,18-30
227832,M,0.5,30-40
228205,F,0.2,30-40
228285,F,0.1,40-50
228372,F,0.2,40-50
228400,F,0.3,18-30
228409,F,0.5,50-60
228446,F,0.1,30-40
228648,F,0.7,18-30
228725,F,0.1,18-30
228841,F,0.2,30-40
228922,F,0.5,18-30
229067,M,0.2,30-40
229301,F,0.2,30-40
230018,F,0.2,30-40
230146,F,0.3,30-40
230342,F,0.4,40-50
230359,F,0.5,50-60
231157,M,0.1,30-40
231392,F,0.5,30-40
231754,M,1,18-30
231919,F,0.1,60+
232187,F,0.3,18-30
232310,F,0,40-50
232808,F,0.2,30-40
233113,F,0.1,30-40
233417,F,0.1,60+
233621,F,0.2,18-30
234108,F,0.1,40-50
234186,F,0.2,30-40
234520,F,0.4,50-60
234808,M,0.3,50-60
235251,F,0.5,40-50
235842,M,0.1,18-30
237185,F,0.1,40-50
237708,F,1.2,30-40
237811,F,0.8,50-60
237872,F,0.2,30-40
237943,F,1,18-30
237978,F,0.1,30-40
237992,M,0.6,50-60
238220,F,0.1,50-60
238359,F,0.1,50-60
238657,F,0.1,40-50
238674,F,0.1,30-40
238780,F,0.3,30-40
238894,F,0.4,40-50
239085,M,0.3,50-60
239113,F,0.2,18-30
239129,F,0.1,18-30
239349,F,0.2,30-40
240023,F,0.2,30-40
240327,F,0.4,18-30
240543,F,0.1,18-30
240596,M,0.4,60+
241002,M,0.1,40-50
241212,F,0.2,30-40
241489,F,0.6,60+
242160,M,0.2,40-50
242840,F,0.1,40-50
243013,F,0,30-40
243325,M,0.1,40-50
243352,F,0.1,18-30
243786,F,0.1,40-50
243972,F,0.2,30-40
244024,F,0.9,18-30
244132,F,0.1,50-60
244612,F,0.9,50-60
245513,F,0.1,30-40
246015,M,1.2,50-60
246663,F,0.1,60+
247099,F,0.1,40-50
247383,F,0.3,18-30
248224,F,0.1,18-30
250325,F,0.1,50-60
250534,F,1.7,60+
251174,F,0.2,30-40
251809,F,0.3,18-30
253461,F,2.7,30-40
253752,F,0.1,18-30
254270,F,1.2,60+
254872,F,0.1,18-30
254873,F,0.2,40-50
254953,F,0.2,18-30
255068,F,0.5,30-40
255315,M,0.1,18-30
255396,F,0.1,40-50
255974,F,0.3,50-60
255991,M,0.7,30-40
255995,F,0.2,40-50
256049,F,0.6,40-50
256158,F,0.5,30-40
256374,F,0.4,18-30
256539,F,0.1,18-30
256643,M,0.2,30-40
256778,F,0.9,60+
257361,F,0.2,50-60
257494,F,0.2,30-40
257812,F,0.1,40-50
257886,F,0.4,40-50
258130,F,0.2,40-50
258132,F,0.2,40-50
258449,M,1.2,30-40
258465,F,0.1,18-30
258680,F,0.3,18-30
258796,F,0.1,30-40
258846,F,0.2,40-50
258914,F,0.1,18-30
259090,F,0.2,40-50
259199,F,0.4,50-60
259391,F,0.2,30-40
259490,F,0.1,30-40
259814,F,0.1,50-60
259848,F,0.2,30-40
260149,F,0.2,30-40
260341,F,0.2,30-40
260437,F,0.3,18-30
260497,F,0,60+
260806,F,0.8,18-30
260958,F,0.7,18-30
261059,F,0.2,40-50
261180,F,0.2,60+
262092,F,0.2,30-40
262443,M,0.3,30-40
262721,F,0.5,30-40
262943,M,0.2,40-50
263007,F,0.1,40-50
263644,M,0.1,30-40
263711,F,0.2,40-50
264091,F,0.2,50-60
264581,F,0.1,18-30
264584,F,0.8,50-60
264612,F,0.2,40-50
265208,F,0.7,18-30
265264,F,0.2,60+
265276,F,0.4,30-40
265650,F,0.1,18-30
265727,M,0.3,30-40
265756,F,0.1,50-60
265771,F,0.2,40-50
265826,F,0.1,50-60
265860,F,0.2,40-50
266187,M,1.2,30-40
266515,F,0.3,30-40
266737,F,0.3,50-60
266799,M,0.4,30-40
267156,F,0.1,50-60
267504,M,0.3,18-30
267715,F,0.1,40-50
267843,F,0.2,30-40
268005,F,0.2,50-60
268078,F,0.1,30-40
268500,F,0.1,50-60
268840,F,0.7,60+
269034,F,0.2,30-40
269458,F,0.2,40-50
269564,F,0.1,40-50
269612,F,0.1,18-30
269810,F,0.3,30-40
269836,F,0.2,40-50
270383,F,0.2,40-50
270513,F,0.3,30-40
270646,F,0.2,40-50
270697,F,0.2,30-40
270700,F,0.2,40-50
270776,F,0.1,30-40
270837,M,0.1,18-30
271244,F,0.4,18-30
271309,F,0.1,40-50
271425,F,0.1,50-60
272134,F,0.1,30-40
272282,F,0.3,40-50
272325,M,0.6,40-50
272453,M,0.2,40-50
272558,F,0.3,18-30
272644,F,0.3,50-60
272828,F,0.5,50-60
273129,F,0.1,18-30
274008,F,0,60+
274120,F,0.2,40-50
274321,F,0.2,40-50
274414,F,0.4,18-30
274420,F,0.8,50-60
274423,F,0.1,40-50
274432,F,0.1,40-50
274478,F,0.1,18-30
274479,F,0.1,50-60
274490,F,0.2,50-60
274514,F,0.5,50-60
274596,M,0.2,40-50
275320,M,0.2,50-60
275405,F,0.3,40-50
276145,F,0.1,40-50
276326,F,0.2,40-50
276965,M,1.8,40-50
277226,F,0.4,60+
277854,F,0.3,18-30
278217,F,0.2,30-40
278426,F,0.4,60+
278519,F,0.4,30-40
278554,F,0.2,40-50
278597,F,0.5,60+
278949,F,0.2,40-50
278981,F,0.1,40-50
279037,M,0.3,18-30
280006,F,0.7,18-30
280438,M,0.2,40-50
280697,M,0,60+
280850,F,0.2,40-50
280855,F,0.3,30-40
281005,F,0.1,18-30
281070,M,0.1,40-50
281102,F,0.2,30-40
281202,F,0.1,30-40
281324,F,0.2,50-60
281546,F,0.1,18-30
281646,F,0.1,30-40
